# A b Om H0
1.502956185275445167e+00 2.623891021119845490e+01 1.209524524140010576e-01 7.022832833639557748e+01
1.506177056574512729e+00 2.592905865427731271e+01 1.258095329845991817e-01 6.997788918577292350e+01
1.609049658572651476e+00 2.637454805865448648e+01 1.259834790363750512e-01 6.967391169041670196e+01
1.441166723739839561e+00 2.640014546449694777e+01 1.272359753609667854e-01 7.006788777695120984e+01
1.534148125951018127e+00 2.625028817048340457e+01 1.233499167593804097e-01 6.992021861299637919e+01
1.595291527131366571e+00 2.674386416256196597e+01 1.240743460799007408e-01 6.975823799207064724e+01
1.522723791025132112e+00 2.662939229721871470e+01 1.237823628624715872e-01 7.009207916745469902e+01
1.602280086000602566e+00 2.620666831228376381e+01 1.271247602830110901e-01 6.969468593868218420e+01
1.445347825525377106e+00 2.618426525816951411e+01 1.231793658351343912e-01 7.016034188673830840e+01
1.708528212469729635e+00 2.625221328785037755e+01 1.223050429993839533e-01 6.956638115114778032e+01
1.736583065602700371e+00 2.628532945104767649e+01 1.213116665819529011e-01 6.946781059871574371e+01
1.705803022416238379e+00 2.663179981418674558e+01 1.245954426237069895e-01 6.965183915338522525e+01
1.674181813418199827e+00 2.616452168201903206e+01 1.214521233477907219e-01 6.975946973303500442e+01
1.529572235747266529e+00 2.633291168764410983e+01 1.248381894304584488e-01 6.997719692744111342e+01
1.426461151293994423e+00 2.626436802806205506e+01 1.270516481095341210e-01 7.007888987160825423e+01
1.416109127894331188e+00 2.628278689148782021e+01 1.272543086542184398e-01 7.021641748878474232e+01
1.510164957322100765e+00 2.655382945453078847e+01 1.249693837826899578e-01 7.015912767316319787e+01
1.514574465555251326e+00 2.626156609748059267e+01 1.257577039569997557e-01 7.002713293952476192e+01
1.368905253261011090e+00 2.610186505898502318e+01 1.238005117054830490e-01 7.036996624541386325e+01
1.586341081347052429e+00 2.582060989033309539e+01 1.246480663187937293e-01 6.969511559312950055e+01
1.502956185275445167e+00 2.623891021119845490e+01 1.209524524140010576e-01 7.022832833639557748e+01
1.506177056574512729e+00 2.592905865427731271e+01 1.258095329845991817e-01 6.997788918577292350e+01
1.609049658572651476e+00 2.637454805865448648e+01 1.259834790363750512e-01 6.967391169041670196e+01
1.441166723739839561e+00 2.640014546449694777e+01 1.272359753609667854e-01 7.006788777695120984e+01
1.534148125951018127e+00 2.625028817048340457e+01 1.233499167593804097e-01 6.992021861299637919e+01
1.593831294821627331e+00 2.685610915497195350e+01 1.234369738461090632e-01 6.977151694749544220e+01
1.522723791025132112e+00 2.662939229721871470e+01 1.237823628624715872e-01 7.009207916745469902e+01
1.602280086000602566e+00 2.620666831228376381e+01 1.271247602830110901e-01 6.969468593868218420e+01
1.440787939866267964e+00 2.620360479181175606e+01 1.241142665060909478e-01 7.014067659939618693e+01
