# A b Om H0
1.306446229372775436e+00 2.645774079604688467e+01 2.691352045712559482e-01 7.034862414517743900e+01
1.476649891878278442e+00 2.671112667338123714e+01 2.697144221233824246e-01 7.011938421730883420e+01
1.399465052422823375e+00 2.701865422879738787e+01 2.743110652447950937e-01 7.022780827696264794e+01
1.548184522437184851e+00 2.751611317469890139e+01 2.693664672304261209e-01 7.003195461687442958e+01
1.418532277629266369e+00 2.727270117748757627e+01 2.600413671080148981e-01 6.991645874231544155e+01
1.465590304399214228e+00 2.730415851715600795e+01 2.611239143181977584e-01 7.033752549084145755e+01
1.319466357043987959e+00 2.778737730100985814e+01 2.643475438662667432e-01 7.041178086536943681e+01
1.347086470920211720e+00 2.693256358483319701e+01 2.711082503379396713e-01 7.017474715813280284e+01
1.537489080672458819e+00 2.809239945336860700e+01 2.627505176113288932e-01 6.998938482827939822e+01
1.637179834203084550e+00 2.662655081611409713e+01 2.688602940301434430e-01 6.968509842779627661e+01
1.320065285578075231e+00 2.793635722805442967e+01 2.728854680529489984e-01 7.051535873379707198e+01
1.345218847983679966e+00 2.685158268613189847e+01 2.708615198325065587e-01 7.029400774336596669e+01
1.443871851718228294e+00 2.814239079352644524e+01 2.647515281396508602e-01 7.012221527545241884e+01
1.534649791086469151e+00 2.706863779171798257e+01 2.598773536957569297e-01 6.987407289976405877e+01
1.598601866211138312e+00 2.695286822236624502e+01 2.619115281250537497e-01 6.988122992389713772e+01
1.543575495712971701e+00 2.737995991193527701e+01 2.663027463836647457e-01 6.994170822324491610e+01
1.306446229372775436e+00 2.645774079604688467e+01 2.691352045712559482e-01 7.034862414517743900e+01
1.512842775161124642e+00 2.678287068338920918e+01 2.673986807563824009e-01 7.004870483231394473e+01
1.387781906173776170e+00 2.694820360973985274e+01 2.736609781416599052e-01 7.024298272672750443e+01
1.550950669073697163e+00 2.760756549048419117e+01 2.713057949353694931e-01 7.006422152852823615e+01
1.418532277629266369e+00 2.727270117748757627e+01 2.600413671080148981e-01 6.991645874231544155e+01
1.462267146051073885e+00 2.728648409154229526e+01 2.612912016399494552e-01 7.033775724678841357e+01
1.336658648390942172e+00 2.781142997599415523e+01 2.642216095590226299e-01 7.037847261376798258e+01
1.347665242104010952e+00 2.695765934141751075e+01 2.711847114393299285e-01 7.013778863254080420e+01
1.537489080672458819e+00 2.809239945336860700e+01 2.627505176113288932e-01 6.998938482827939822e+01
1.606044344633346999e+00 2.666215947390675112e+01 2.691102706322716087e-01 6.973378243728248549e+01
1.287512321236644608e+00 2.798004180161282406e+01 2.729558351501479851e-01 7.057709714737578111e+01
1.260116542462522915e+00 2.675407015936117716e+01 2.757961828139265936e-01 7.048266447902818754e+01
1.443871851718228294e+00 2.814239079352644524e+01 2.647515281396508602e-01 7.012221527545241884e+01
1.534649791086469151e+00 2.706863779171798257e+01 2.598773536957569297e-01 6.987407289976405877e+01
1.579716867680723391e+00 2.691543308593408312e+01 2.631198533079591173e-01 6.991810955217454193e+01
1.507476365528630291e+00 2.727991711167011601e+01 2.680077315948283800e-01 7.001151692047443476e+01
1.306446229372775436e+00 2.645774079604688467e+01 2.691352045712559482e-01 7.034862414517743900e+01
1.504491687052332827e+00 2.667343497203749436e+01 2.702790044647410128e-01 7.011558086250190058e+01
1.387781906173776170e+00 2.694820360973985274e+01 2.736609781416599052e-01 7.024298272672750443e+01
1.584487506698939008e+00 2.758151482882239236e+01 2.723138880290829622e-01 7.001386804693557053e+01
1.418532277629266369e+00 2.727270117748757627e+01 2.600413671080148981e-01 6.991645874231544155e+01
1.468986586926767313e+00 2.725577574424663041e+01 2.607433396963711458e-01 7.032936507324426145e+01
1.332719297101777833e+00 2.763492450607642326e+01 2.648622857271319408e-01 7.037458071742062771e+01
1.392555993304826822e+00 2.687630159939095620e+01 2.709254575458267533e-01 7.013143177429620323e+01
1.558947341705880341e+00 2.824421948143714189e+01 2.621575354929378543e-01 6.995602023382384971e+01
1.606044344633346999e+00 2.666215947390675112e+01 2.691102706322716087e-01 6.973378243728248549e+01
1.387767714495458549e+00 2.766093839384297226e+01 2.707005844366932035e-01 7.031931652577502234e+01
